Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
6,5,2.5,1,West,2068.0,0-3-3-2 Sq. Feet,13 Feet / Blacktopped,N/A Sq. Feet,3 months ago,40000000,Kathmandu,Chhauni
0,4,3.0,2,South,2080.0,3 Aana,13 Feet / Gravelled,0 Aana,1 month ago,28000000,Lalitpur,Imadol
5,5,2.5,1,South East,,0-3-0-0 Aana,12 Feet / Concrete,N/A Sq. Feet,4 days ago,27500000,Lalitpur,Imadol
5,4,,1,South,,3 Aana,16 Feet,N/A Aana,1 month ago,29800000,Lalitpur,Imadol
3,4,2.5,1,North East,,0-4-0-0 Aana,18 Feet / Soil Stabilized,2057 Sq. Feet,9 months ago,34000000,Lalitpur,Imadol
6,4,2.0,2,South,2080.0,4 anna 1 paisa Aana,13 Feet / Paved,N/A Aana,2 months ago,42500000,Lalitpur,Imadol
5,6,3.0,1,South,2080.0,0-5-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,55000000,Lalitpur,Imadol
0,0,,0,West,,0-3-0-0 Aana,6 Feet,N/A Sq. Feet,2 years ago,12000000,Bhaktapur,Duwakot
5,3,,0,West,2079.0,0.3.1.2 Aana,13 Feet / Gravelled,N/A Aana,6 months ago,29000000,Kathmandu,Kalanki
4,3,,1,South East,2080.0,0-3-0-0 Aana,13 Feet,2100 Sq. Feet,4 weeks ago,22500000,Lalitpur,Sano Gaun
5,4,,1,East,,0-4.5 -0-0 Aana,23 Feet,3000 Sq. Feet,2 months ago,33000000,Lalitpur,Hattiban
4,3,3.0,1,East,2022.0,4 Aana,13 Feet / Blacktopped,1200+ Aana,1 week ago,35000000,Lalitpur,Sunakothi
0,4,2.0,1,South,2080.0,4 aana Aana,13 Feet,o Aana,2 months ago,42500000,Lalitpur,Hattiban
6,7,3.0,3,East,2077.0,0-9-0-0 Aana,16 Feet / Gravelled,N/A Aana,3 years ago,150000000,Lalitpur,Dhobighat
0,4,3.0,1,West,2024.0,0-3-1-1 Aana,13 Feet / Gravelled,N/A Aana,2 weeks ago,32500000,Lalitpur,Imadol
4,2,,1,East,2073.0,3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,15500000,Bhaktapur,Balkot
6,6,3.5,1,North,2080.0,0-3-1-0 Aana,13 Feet / Concrete,N/A Sq. Feet,2 months ago,29000000,Lalitpur,Imadol
6,3,3.0,2,South,2075.0,0=4=1=0 Aana,20 Feet / Blacktopped,2100 Sq. Feet,4 months ago,34000000,Kathmandu,Kageshwari-Manohara
4,3,3.0,1,North West,,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,8 months ago,58500000,Lalitpur,Bhaisepati
0,0,,0,East,,0-4-0-0 Aana,15 Feet,N/A Sq. Feet,2 years ago,40000000,Bhaktapur,Gatthaghar
5,4,,1,West,,0-3-0-0 Aana,16 Feet,2670 Sq. Feet,2 months ago,38500000,Lalitpur,Jwagal
4,4,2.5,1,South,2080.0,0-3-0-0 Aana,13 Feet / Concrete,N/A Sq. Feet,4 days ago,25200000,Lalitpur,Tikathali
4,4,3.0,1,North,2078.0,0-3-2-0 Aana,13 Feet / Gravelled,2300 Sq. Feet,2 years ago,31500000,Lalitpur,Imadol
4,4,2.0,3,West,,0-3-1-1 Aana,13 Feet / Gravelled,1133.880 Sq. Feet,2 weeks ago,24500000,Lalitpur,Imadol
0,0,5.0,0,South,2075.0,0-6-2-0 Aana,20 Feet / Blacktopped,7500 Sq. Feet,4 years ago,75000000,Bhaktapur,Gatthaghar
5,5,3.0,3,East,2012.0,0-9-0-0 Aana,13 Feet,N/A Aana,5 years ago,60000000,Lalitpur,Khumaltar
10,10,4.0,2,East,2078.0,0-8.52-0-0 Aana,13 Feet / Blacktopped,0-4-0-0 Aana,5 months ago,120000000,Kathmandu,Dallu
6,4,,2,North East,,0-5-1-0 Aana,12 Feet,2950 Sq. Feet,6 months ago,68000000,Kathmandu,Sinamangal
4,4,2.0,2,South,,0-2-3-0 Aana,13 Feet / Paved,941.312 Sq. Feet,3 days ago,23500000,Lalitpur,Imadol
7,7,,1,North,2079.0,0-3-0-0 Aana,13 Feet,2790 Sq. Feet,1 week ago,45000000,Lalitpur,Imadol
0,0,,0,West,,0-5-0-0 Aana,13 Feet,N/A Sq. Feet,2 years ago,24000000,Bhaktapur,Duwakot
0,0,,0,East,,0-4-0-0 Aana,13 Feet,N/A Sq. Feet,2 years ago,21500000,Bhaktapur,Balkot
