Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"Chhauni, Chhauni, Kathmandu",6,5,2.5,1,West,2068,0-3-3-2 Sq. Feet,13 Feet / Blacktopped,N/A Sq. Feet,3 months ago,"NPR. 4,00,00,000 Total Price"
"imadol, lalitpur, Imadol, Lalitpur",0,4,3,2,South,2080,3 Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,80,00,000"
"Shikhar tole, Imadol, Lalitpur",5,5,2.5,1,South East,,0-3-0-0 Aana,12 Feet / Concrete,N/A Sq. Feet,4 days ago,"NPR. 2,75,00,000"
"bojepokhari, Imadol, Lalitpur",5,4,N/A,1,South,,3 Aana,16 Feet,N/A Aana,1 month ago,"NPR. 2,98,00,000 Onwards"
"Opposite to Buddha Party Palace, Imadol, Lalitpur",3,4,2.5,1,North East,,0-4-0-0 Aana,18 Feet / Soil Stabilized,2057 Sq. Feet,9 months ago,"NPR. 3,40,00,000 Total Price"
"imadol, lalitpur, Imadol, Lalitpur",6,4,2,2,South,2080,4 anna 1 paisa Aana,13 Feet / Paved,N/A Aana,2 months ago,"NPR. 4,25,00,000 Onwards"
"Shital Height ,Imadol, Imadol, Lalitpur",5,6,3,1,South,2080,0-5-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 5,50,00,000 Onwards"
"Duwakot, Duwakot, Bhaktapur",0,0,N/A,0,West,,0-3-0-0 Aana,6 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,20,00,000"
"Kalanki, Kathmandu, Kalanki, Kathmandu",5,3,N/A,0,West,2079,0.3.1.2 Aana,13 Feet / Gravelled,N/A Aana,6 months ago,"NPR. 2,90,00,000 Onwards"
"Near Bhatbhateni, Sano Gaun, Lalitpur",4,3,N/A,1,South East,2080,0-3-0-0 Aana,13 Feet,2100 Sq. Feet,4 weeks ago,"NPR. 2,25,00,000 Onwards"
"setipakha, Hattiban, Lalitpur",5,4,N/A,1,East,,0-4.5 -0-0 Aana,23 Feet,3000 Sq. Feet,2 months ago,"NPR. 3,30,00,000 Onwards"
"lalitpur, Sunakothi, Lalitpur",4,3,3,1,East,2022,4 Aana,13 Feet / Blacktopped,1200+ Aana,1 week ago,"NPR. 3,50,00,000 Onwards"
"Hattiban,Lalitpur, Hattiban, Lalitpur",0,4,2,1,South,2080,4 aana Aana,13 Feet,o Aana,2 months ago,"NPR. 4,25,00,000 Onwards"
"Dhobighat, Dhobighat, Lalitpur",6,7,3,3,East,2077,0-9-0-0 Aana,16 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 15,00,00,000"
"Rajkulo, Imadol, Imadol, Lalitpur",0,4,3,1,West,2024,0-3-1-1 Aana,13 Feet / Gravelled,N/A Aana,2 weeks ago,"NPR. 3,25,00,000"
"124, Balkot, Bhaktapur",4,2,N/A,1,East,2073,3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,55,00,000"
"Imadol, Imadol, Lalitpur",6,6,3.5,1,North,2080,0-3-1-0 Aana,13 Feet / Concrete,N/A Sq. Feet,2 months ago,"NPR. 2,90,00,000"
"Ghuheshwori sadak, Kageshwari-Manohara, Kathmandu",6,3,3,2,South,2075,0=4=1=0 Aana,20 Feet / Blacktopped,2100 Sq. Feet,4 months ago,"NPR. 3,40,00,000 Onwards"
"Vinayak Colony, Bhaisepati, Lalitpur",4,3,3,1,North West,,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 5,85,00,000 Total Price"
"Gatthaghar, Gatthaghar, Bhaktapur",0,0,N/A,0,East,,0-4-0-0 Aana,15 Feet,N/A Sq. Feet,2 years ago,"NPR. 4,00,00,000"
"Jwagal, Jwagal, Lalitpur",5,4,N/A,1,West,,0-3-0-0 Aana,16 Feet,2670 Sq. Feet,2 months ago,"NPR. 3,85,00,000 Onwards"
"Tikathali, Lalitpur, Tikathali, Lalitpur",4,4,2.5,1,South,2080,0-3-0-0 Aana,13 Feet / Concrete,N/A Sq. Feet,4 days ago,"NPR. 2,52,00,000 Total price"
"Sital Height, Imadol, Imadol, Lalitpur",4,4,3,1,North,2078,0-3-2-0 Aana,13 Feet / Gravelled,2300 Sq. Feet,2 years ago,"NPR. 3,15,00,000 Total price"
"Imadol Shital Height, Imadol, Lalitpur",4,4,2,3,West,,0-3-1-1 Aana,13 Feet / Gravelled,1133.880 Sq. Feet,2 weeks ago,"NPR. 2,45,00,000 Onwards"
"Gathaghar, Bhaktapur, Gatthaghar, Bhaktapur",0,0,5,0,South,2075,0-6-2-0 Aana,20 Feet / Blacktopped,7500 Sq. Feet,4 years ago,"NPR. 7,50,00,000"
"Near Ullens School, Khumaltar, Lalitpur",5,5,3,3,East,2012,0-9-0-0 Aana,13 Feet,N/A Aana,5 years ago,"NPR. 6,00,00,000 Total Price"
"Siddartha Chowk, Dallu, Dallu, Kathmandu",10,10,4,2,East,2078,0-8.52-0-0 Aana,13 Feet / Blacktopped,0-4-0-0 Aana,5 months ago,"NPR. 12,00,00,000"
"sinamangal, Sinamangal, Kathmandu",6,4,N/A,2,North East,,0-5-1-0 Aana,12 Feet,2950 Sq. Feet,6 months ago,"NPR. 6,80,00,000 Onwards"
"Shital Height, Imadol, Lalitpur",4,4,2,2,South,,0-2-3-0 Aana,13 Feet / Paved,941.312 Sq. Feet,3 days ago,"NPR. 2,35,00,000 Onwards"
"Shital Height, Imadol, Lalitpur",7,7,N/A,1,North,2079,0-3-0-0 Aana,13 Feet,2790 Sq. Feet,1 week ago,"NPR. 4,50,00,000 Onwards"
"Duwakot, Duwakot, Bhaktapur",0,0,N/A,0,West,,0-5-0-0 Aana,13 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,40,00,000"
"Balkot, Balkot, Bhaktapur",0,0,N/A,0,East,,0-4-0-0 Aana,13 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,15,00,000"
"Tikathali, Lalitpur, Tikathali, Lalitpur",5,4,3,2,North,,0-4-0-0 Aana,13 Feet / Paved,N/A Aana,2 weeks ago,"NPR. 3,50,00,000"
"Syuchatar Ringroad, Kalanki, Kathmandu",0,0,4,0,South West,,0-5-2-1 Aana,20 Feet / Blacktopped,N/A Aana,4 months ago,"NPR. 6,00,00,000 Total Price"
"chauni, Chhauni, Kathmandu",5,3,N/A,1,North East,2069,4 Aana,12 Feet / Paved,N/A Aana,6 months ago,"NPR. 2,75,00,000 Onwards"
"Kausaltar, Kausaltar, Bhaktapur",6,4,3,1,South,2070,4 Aana,20 Feet / Gravelled,3000 Sq. Feet,3 years ago,"NPR. 3,25,00,000"
"imadol, lalitpur, Imadol, Lalitpur",4,4,3,2,East,2080,3 Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,75,00,000"
"Tikathali, Tikathali, Lalitpur",2,1,1,2,North East,2080,3 aana 2 paisa Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 1,80,00,000 Onwards"
"Ekdhara, Thulo Bharyang, Kathmandu",5,3,N/A,0,North East,2080,3 Aana,12 Feet / Paved,N/A Aana,6 months ago,"NPR. 3,25,00,000 Onwards"
"Nayabasti, Imadol, Lalitpur",6,5,3,1,South,,3-2 Aana,13 Feet,N/A Aana,1 week ago,"NPR. 3,55,00,000 Onwards"
