Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"LolangPhant Goldhunga, Goldhunga, Kathmandu",8,4,4,1,West,2075,5 Aana,10 Feet / Gravelled,1700 Aana,2 years ago,"NPR. 2,99,00,000"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,4,3,1,West,2078,0-4-0-0 Aana,20 Feet / Blacktopped,2300 Sq. Feet,2 months ago,"NPR. 4,50,00,000"
"Lolang Height, Tarkeshwor, Kathmandu",6,3,N/A,2,South,,0-4-1-2 Aana,10 Feet / Paved,N/A Aana,2 years ago,"NPR. 1,85,00,000"
"New Colony, Ganesh Chowk, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",6,5,3,2,North,2078,0-4-0-0 Aana,13 Feet / Gravelled,2300 Sq. Feet,2 years ago,"NPR. 3,35,00,000 Total price"
"Surkhet, Surkhet Bazar, Surkhet",0,0,N/A,0,North,,9*18 Haat,20 Feet / Blacktopped,N/A Sq. Feet,4 years ago,"NPR. 2,00,00,000 Total price"
"Nearby, Laxmi Bank, Nepaltar, Kathmandu",11,3,3,0,North,,4 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,40,00,000 Total price"
"Nilkantha Nagarpalika -3, Dhading, Dhading",4,3,2,0,East,,0-4-0-2 Aana,7 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,00,00,000 Total price"
"Suncity Planning, Pepsicola, Kathmandu",10,6,3,4,East,,3.2 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 2,40,00,000"
"Harsala Toll, Tarahara, Sunsari",0,0,3,0,North,,15 Dhur,15 Feet / Blacktopped,N/A Dhur,4 years ago,"NPR. 1,50,00,000"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,2.5,2,South West,2080,0-8-1-0 Aana,20 Feet / Blacktopped,3755 Sq. Feet,2 months ago,"NPR. 6,77,00,000"
"Police Bit, Ranibari, Kathmandu",3,1,1,1,East,,0-8-0-0 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 55,00,000 Per Aana"
"Nearby, Little Angel&#39;s College of Higher Studies, Imadol, Lalitpur",0,0,N/A,0,South,,0-2-2-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,50,00,000 Total price"
"Krishna Mandir, Imadol, Lalitpur",7,2,3,0,South,,0-3-3-2 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,25,00,000 Total price"
"Canvas Boarding High School, Baneshwor, Kathmandu",11,5,3.5,2,South,2052,0-4-0-0 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 2,85,00,000"
"Hattigauda, Hattigauda, Kathmandu",0,0,3,0,South,,6 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 3,75,00,000"
"Sworgadwari Colony Heights, Budhanilkantha, Kathmandu",7,5,2.5,3,South East,,0-10-2-0 Aana,23 Feet / Concrete,2700 Sq. Feet,4 months ago,"NPR. 8,00,00,000 Total Price"
"Sitapakha, Imadol, Lalitpur",2,1,1,0,East,,0-3-3-3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,30,00,000 Total price"
"Chandol, Baluwatar, Kathmandu",7,3,2.5,1,North,2066,0-5-0-0 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,90,00,000 Total price"
"Tikathali, Tikathali, Lalitpur",2,1,1,3,East,,0-3-2-0 Aana,13 Feet / Blacktopped,1198.033 Sq. Feet,2 days ago,"NPR. 1,70,00,000 Onwards"
"Gokarneshwor, Nayabasti, Boudha, Kathmandu",6,3,3,2,East,2069,0-3-0-0 Aana,8 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 1,90,00,000"
